central_density,radius,mass
2.460000e+15,1.023263e+06,3.825482e+33
2.470000e+15,1.022340e+06,3.824549e+33
2.480000e+15,1.020898e+06,3.820264e+33
2.490000e+15,1.019772e+06,3.817697e+33
2.500000e+15,1.018865e+06,3.816723e+33
2.510000e+15,1.017441e+06,3.812441e+33
2.520000e+15,1.016333e+06,3.809860e+33
2.530000e+15,1.015444e+06,3.808858e+33
2.540000e+15,1.014150e+06,3.805195e+33
2.550000e+15,1.012947e+06,3.801980e+33
2.560000e+15,1.012075e+06,3.800950e+33
2.570000e+15,1.010798e+06,3.797282e+33
2.580000e+15,1.009612e+06,3.794064e+33
2.590000e+15,1.008757e+06,3.793009e+33
2.600000e+15,1.007503e+06,3.789495e+33
2.610000e+15,1.006329e+06,3.786117e+33
2.620000e+15,1.005491e+06,3.785038e+33
2.630000e+15,1.004259e+06,3.781680e+33
2.640000e+15,1.003095e+06,3.778145e+33
2.650000e+15,1.002273e+06,3.777046e+33
2.660000e+15,1.001059e+06,3.773687e+33
2.670000e+15,9.999110e+05,3.770155e+33
2.680000e+15,9.991054e+05,3.769036e+33
2.690000e+15,9.979071e+05,3.765679e+33
2.700000e+15,9.967753e+05,3.762150e+33
2.710000e+15,9.959855e+05,3.761014e+33
2.720000e+15,9.948036e+05,3.757662e+33
2.730000e+15,9.936874e+05,3.754137e+33
2.740000e+15,9.929130e+05,3.752985e+33
2.750000e+15,9.917473e+05,3.749638e+33
2.760000e+15,9.906464e+05,3.746119e+33
2.770000e+15,9.898872e+05,3.744952e+33
2.780000e+15,9.887376e+05,3.741613e+33
2.790000e+15,9.876516e+05,3.738100e+33
2.800000e+15,9.869074e+05,3.736921e+33
2.810000e+15,9.857736e+05,3.733591e+33
2.820000e+15,9.847023e+05,3.730085e+33
2.830000e+15,9.839726e+05,3.728893e+33
2.840000e+15,9.828545e+05,3.725574e+33
2.850000e+15,9.817976e+05,3.722076e+33
2.860000e+15,9.810823e+05,3.720873e+33
2.870000e+15,9.799797e+05,3.717566e+33
2.880000e+15,9.789369e+05,3.714076e+33
2.890000e+15,9.782356e+05,3.712864e+33
2.900000e+15,9.770396e+05,3.709019e+33
2.910000e+15,9.761194e+05,3.706090e+33
2.920000e+15,9.754321e+05,3.704870e+33
2.930000e+15,9.742434e+05,3.700894e+33
2.940000e+15,9.733443e+05,3.698119e+33
2.950000e+15,9.726717e+05,3.696899e+33
2.960000e+15,9.714885e+05,3.692788e+33
2.970000e+15,9.706110e+05,3.690165e+33
2.980000e+15,9.699529e+05,3.688947e+33
2.990000e+15,9.687832e+05,3.684851e+33
3.000000e+15,9.679186e+05,3.682233e+33
3.010000e+15,9.670480e+05,3.679898e+33
3.020000e+15,9.661184e+05,3.676936e+33
3.030000e+15,9.652679e+05,3.674330e+33
3.040000e+15,9.644106e+05,3.672000e+33
3.050000e+15,9.634936e+05,3.669045e+33
3.060000e+15,9.626572e+05,3.666453e+33
3.070000e+15,9.618126e+05,3.664128e+33
3.080000e+15,9.609656e+05,3.661237e+33
3.090000e+15,9.600855e+05,3.658604e+33
3.100000e+15,9.592535e+05,3.656283e+33
3.110000e+15,9.584202e+05,3.653410e+33
3.120000e+15,9.575523e+05,3.650783e+33
