radius,rest_mass_density,gravitational_mass,pressure,energy_density
6.552231e+02,3.989984e+15,1.180573e+25,4.278407e+36,7.276941e+36
6.579147e+02,3.989984e+15,1.192476e+25,4.278407e+36,7.276941e+36
6.606113e+02,3.989984e+15,1.204498e+25,4.278407e+36,7.276941e+36
6.633129e+02,3.989984e+15,1.216642e+25,4.278407e+36,7.276941e+36
6.660195e+02,3.989984e+15,1.228908e+25,4.278407e+36,7.276941e+36
6.687313e+02,3.989984e+15,1.241297e+25,4.278407e+36,7.276940e+36
6.714483e+02,3.989984e+15,1.253811e+25,4.278407e+36,7.276940e+36
6.741706e+02,3.989983e+15,1.266451e+25,4.278406e+36,7.276940e+36
6.768981e+02,3.989983e+15,1.279218e+25,4.278406e+36,7.276940e+36
6.796310e+02,3.989983e+15,1.292113e+25,4.278406e+36,7.276940e+36
6.823694e+02,3.989983e+15,1.305139e+25,4.278406e+36,7.276939e+36
6.851131e+02,3.989983e+15,1.318295e+25,4.278406e+36,7.276939e+36
6.878625e+02,3.989983e+15,1.331584e+25,4.278406e+36,7.276939e+36
6.906174e+02,3.989983e+15,1.345007e+25,4.278405e+36,7.276939e+36
6.933779e+02,3.989983e+15,1.358564e+25,4.278405e+36,7.276939e+36
6.961441e+02,3.989983e+15,1.372258e+25,4.278405e+36,7.276938e+36
6.989161e+02,3.989983e+15,1.386090e+25,4.278405e+36,7.276938e+36
7.016939e+02,3.989983e+15,1.400062e+25,4.278405e+36,7.276938e+36
7.044775e+02,3.989983e+15,1.414173e+25,4.278405e+36,7.276938e+36
7.072670e+02,3.989983e+15,1.428427e+25,4.278404e+36,7.276938e+36
7.100625e+02,3.989983e+15,1.442825e+25,4.278404e+36,7.276937e+36
7.128640e+02,3.989982e+15,1.457367e+25,4.278404e+36,7.276937e+36
7.156715e+02,3.989982e+15,1.472055e+25,4.278404e+36,7.276937e+36
7.184852e+02,3.989982e+15,1.486892e+25,4.278404e+36,7.276937e+36
7.213050e+02,3.989982e+15,1.501878e+25,4.278404e+36,7.276936e+36
7.241310e+02,3.989982e+15,1.517014e+25,4.278403e+36,7.276936e+36
7.269633e+02,3.989982e+15,1.532303e+25,4.278403e+36,7.276936e+36
7.298019e+02,3.989982e+15,1.547746e+25,4.278403e+36,7.276936e+36
7.326469e+02,3.989982e+15,1.563344e+25,4.278403e+36,7.276936e+36
7.354982e+02,3.989982e+15,1.579099e+25,4.278403e+36,7.276935e+36
7.383561e+02,3.989982e+15,1.595013e+25,4.278402e+36,7.276935e+36
7.412205e+02,3.989982e+15,1.611087e+25,4.278402e+36,7.276935e+36
7.440914e+02,3.989982e+15,1.627323e+25,4.278402e+36,7.276935e+36
7.469689e+02,3.989982e+15,1.643722e+25,4.278402e+36,7.276934e+36
7.498532e+02,3.989981e+15,1.660287e+25,4.278402e+36,7.276934e+36
7.527441e+02,3.989981e+15,1.677018e+25,4.278402e+36,7.276934e+36
7.556418e+02,3.989981e+15,1.693917e+25,4.278401e+36,7.276934e+36
7.585463e+02,3.989981e+15,1.710987e+25,4.278401e+36,7.276934e+36
7.614576e+02,3.989981e+15,1.728228e+25,4.278401e+36,7.276933e+36
7.643759e+02,3.989981e+15,1.745643e+25,4.278401e+36,7.276933e+36
7.673012e+02,3.989981e+15,1.763233e+25,4.278401e+36,7.276933e+36
7.702334e+02,3.989981e+15,1.781000e+25,4.278400e+36,7.276933e+36
7.731727e+02,3.989981e+15,1.798947e+25,4.278400e+36,7.276932e+36
7.761191e+02,3.989981e+15,1.817073e+25,4.278400e+36,7.276932e+36
7.790726e+02,3.989981e+15,1.835382e+25,4.278400e+36,7.276932e+36
7.820334e+02,3.989981e+15,1.853876e+25,4.278400e+36,7.276932e+36
7.850014e+02,3.989980e+15,1.872556e+25,4.278399e+36,7.276931e+36
7.879767e+02,3.989980e+15,1.891423e+25,4.278399e+36,7.276931e+36
7.909593e+02,3.989980e+15,1.910481e+25,4.278399e+36,7.276931e+36
7.939493e+02,3.989980e+15,1.929730e+25,4.278399e+36,7.276931e+36
7.969468e+02,3.989980e+15,1.949174e+25,4.278399e+36,7.276930e+36
7.999517e+02,3.989980e+15,1.968812e+25,4.278398e+36,7.276930e+36
8.029642e+02,3.989980e+15,1.988649e+25,4.278398e+36,7.276930e+36
8.059842e+02,3.989980e+15,2.008685e+25,4.278398e+36,7.276930e+36
8.090119e+02,3.989980e+15,2.028923e+25,4.278398e+36,7.276929e+36
8.120472e+02,3.989980e+15,2.049365e+25,4.278398e+36,7.276929e+36
8.150903e+02,3.989980e+15,2.070012e+25,4.278397e+36,7.276929e+36
8.181411e+02,3.989979e+15,2.090868e+25,4.278397e+36,7.276929e+36
8.211998e+02,3.989979e+15,2.111933e+25,4.278397e+36,7.276928e+36
8.242663e+02,3.989979e+15,2.133210e+25,4.278397e+36,7.276928e+36
8.273407e+02,3.989979e+15,2.154702e+25,4.278397e+36,7.276928e+36
8.304230e+02,3.989979e+15,2.176409e+25,4.278396e+36,7.276927e+36
8.335134e+02,3.989979e+15,2.198336e+25,4.278396e+36,7.276927e+36
8.366118e+02,3.989979e+15,2.220483e+25,4.278396e+36,7.276927e+36
8.397182e+02,3.989979e+15,2.242853e+25,4.278396e+36,7.276927e+36
8.428328e+02,3.989979e+15,2.265448e+25,4.278396e+36,7.276926e+36
8.459556e+02,3.989979e+15,2.288270e+25,4.278395e+36,7.276926e+36
8.490867e+02,3.989979e+15,2.311323e+25,4.278395e+36,7.276926e+36
8.522260e+02,3.989978e+15,2.334607e+25,4.278395e+36,7.276926e+36
8.553736e+02,3.989978e+15,2.358126e+25,4.278395e+36,7.276925e+36
8.585296e+02,3.989978e+15,2.381881e+25,4.278394e+36,7.276925e+36
8.616940e+02,3.989978e+15,2.405876e+25,4.278394e+36,7.276925e+36
8.648668e+02,3.989978e+15,2.430112e+25,4.278394e+36,7.276924e+36
8.680482e+02,3.989978e+15,2.454592e+25,4.278394e+36,7.276924e+36
8.712381e+02,3.989978e+15,2.479319e+25,4.278393e+36,7.276924e+36
8.744366e+02,3.989978e+15,2.504294e+25,4.278393e+36,7.276924e+36
8.776437e+02,3.989978e+15,2.529521e+25,4.278393e+36,7.276923e+36
8.808595e+02,3.989978e+15,2.555002e+25,4.278393e+36,7.276923e+36
8.840841e+02,3.989977e+15,2.580739e+25,4.278393e+36,7.276923e+36
8.873174e+02,3.989977e+15,2.606736e+25,4.278392e+36,7.276922e+36
8.905596e+02,3.989977e+15,2.632994e+25,4.278392e+36,7.276922e+36
8.938106e+02,3.989977e+15,2.659516e+25,4.278392e+36,7.276922e+36
8.970706e+02,3.989977e+15,2.686306e+25,4.278392e+36,7.276921e+36
9.003395e+02,3.989977e+15,2.713365e+25,4.278391e+36,7.276921e+36
9.036174e+02,3.989977e+15,2.740696e+25,4.278391e+36,7.276921e+36
9.069043e+02,3.989977e+15,2.768303e+25,4.278391e+36,7.276920e+36
9.102004e+02,3.989977e+15,2.796187e+25,4.278391e+36,7.276920e+36
9.135056e+02,3.989976e+15,2.824353e+25,4.278390e+36,7.276920e+36
9.168200e+02,3.989976e+15,2.852801e+25,4.278390e+36,7.276920e+36
9.201436e+02,3.989976e+15,2.881536e+25,4.278390e+36,7.276919e+36
9.234765e+02,3.989976e+15,2.910561e+25,4.278390e+36,7.276919e+36
9.268187e+02,3.989976e+15,2.939877e+25,4.278389e+36,7.276919e+36
9.301703e+02,3.989976e+15,2.969489e+25,4.278389e+36,7.276918e+36
9.335313e+02,3.989976e+15,2.999399e+25,4.278389e+36,7.276918e+36
9.369018e+02,3.989976e+15,3.029610e+25,4.278389e+36,7.276918e+36
9.402818e+02,3.989976e+15,3.060125e+25,4.278388e+36,7.276917e+36
9.436713e+02,3.989975e+15,3.090947e+25,4.278388e+36,7.276917e+36
9.470704e+02,3.989975e+15,3.122079e+25,4.278388e+36,7.276917e+36
9.504792e+02,3.989975e+15,3.153525e+25,4.278387e+36,7.276916e+36
9.538977e+02,3.989975e+15,3.185288e+25,4.278387e+36,7.276916e+36
9.573259e+02,3.989975e+15,3.217370e+25,4.278387e+36,7.276916e+36
9.607639e+02,3.989975e+15,3.249775e+25,4.278387e+36,7.276915e+36
9.642117e+02,3.989975e+15,3.282506e+25,4.278386e+36,7.276915e+36
9.676694e+02,3.989975e+15,3.315567e+25,4.278386e+36,7.276915e+36
9.711370e+02,3.989975e+15,3.348961e+25,4.278386e+36,7.276914e+36
9.746146e+02,3.989974e+15,3.382691e+25,4.278386e+36,7.276914e+36
9.781021e+02,3.989974e+15,3.416760e+25,4.278385e+36,7.276913e+36
9.815998e+02,3.989974e+15,3.451172e+25,4.278385e+36,7.276913e+36
9.851075e+02,3.989974e+15,3.485931e+25,4.278385e+36,7.276913e+36
9.886254e+02,3.989974e+15,3.521040e+25,4.278384e+36,7.276912e+36
9.921535e+02,3.989974e+15,3.556502e+25,4.278384e+36,7.276912e+36
9.956919e+02,3.989974e+15,3.592321e+25,4.278384e+36,7.276912e+36
9.992405e+02,3.989974e+15,3.628500e+25,4.278384e+36,7.276911e+36
1.002799e+03,3.989973e+15,3.665044e+25,4.278383e+36,7.276911e+36
1.006369e+03,3.989973e+15,3.701956e+25,4.278383e+36,7.276911e+36
1.009949e+03,3.989973e+15,3.739239e+25,4.278383e+36,7.276910e+36
1.013539e+03,3.989973e+15,3.776898e+25,4.278382e+36,7.276910e+36
1.017140e+03,3.989973e+15,3.814936e+25,4.278382e+36,7.276909e+36
1.020751e+03,3.989973e+15,3.853356e+25,4.278382e+36,7.276909e+36
1.024373e+03,3.989973e+15,3.892164e+25,4.278381e+36,7.276909e+36
1.028005e+03,3.989973e+15,3.931362e+25,4.278381e+36,7.276908e+36
1.031649e+03,3.989972e+15,3.970954e+25,4.278381e+36,7.276908e+36
1.035303e+03,3.989972e+15,4.010946e+25,4.278381e+36,7.276907e+36
1.038968e+03,3.989972e+15,4.051339e+25,4.278380e+36,7.276907e+36
1.042643e+03,3.989972e+15,4.092140e+25,4.278380e+36,7.276907e+36
1.046330e+03,3.989972e+15,4.133351e+25,4.278380e+36,7.276906e+36
