r,rho,m
1.3735220000e-05,1.0000000000e+15,2.3461230000e+01
1.3736590000e-05,1.0000000000e+15,2.3537430000e+01
1.3737960000e-05,1.0000000000e+15,2.3613870000e+01
1.3739330000e-05,1.0000000000e+15,2.3690560000e+01
1.3740700000e-05,1.0000000000e+15,2.3767500000e+01
1.3742070000e-05,1.0000000000e+15,2.3844690000e+01
1.3743440000e-05,1.0000000000e+15,2.3922130000e+01
1.3744810000e-05,1.0000000000e+15,2.3999820000e+01
1.3746170000e-05,1.0000000000e+15,2.4077770000e+01
1.3747540000e-05,1.0000000000e+15,2.4155970000e+01
1.3748910000e-05,1.0000000000e+15,2.4234420000e+01
1.3750280000e-05,1.0000000000e+15,2.4313120000e+01
1.3751640000e-05,1.0000000000e+15,2.4392090000e+01
1.3753010000e-05,1.0000000000e+15,2.4471310000e+01
1.3754380000e-05,1.0000000000e+15,2.4550780000e+01
1.3755740000e-05,1.0000000000e+15,2.4630510000e+01
1.3757110000e-05,1.0000000000e+15,2.4710510000e+01
1.3758470000e-05,1.0000000000e+15,2.4790760000e+01
1.3759840000e-05,1.0000000000e+15,2.4871270000e+01
1.3761200000e-05,1.0000000000e+15,2.4952050000e+01
1.3762570000e-05,1.0000000000e+15,2.5033090000e+01
1.3763930000e-05,1.0000000000e+15,2.5114390000e+01
1.3765300000e-05,1.0000000000e+15,2.5195950000e+01
1.3766660000e-05,1.0000000000e+15,2.5277780000e+01
1.3768020000e-05,1.0000000000e+15,2.5359870000e+01
1.3769390000e-05,1.0000000000e+15,2.5442240000e+01
1.3770750000e-05,1.0000000000e+15,2.5524860000e+01
1.3772110000e-05,1.0000000000e+15,2.5607760000e+01
1.3773480000e-05,1.0000000000e+15,2.5690930000e+01
1.3774840000e-05,1.0000000000e+15,2.5774370000e+01
1.3776200000e-05,1.0000000000e+15,2.5858070000e+01
1.3777560000e-05,1.0000000000e+15,2.5942050000e+01
1.3778920000e-05,1.0000000000e+15,2.6026300000e+01
1.3780280000e-05,1.0000000000e+15,2.6110830000e+01
1.3781640000e-05,1.0000000000e+15,2.6195630000e+01
1.3783000000e-05,1.0000000000e+15,2.6280710000e+01
1.3784370000e-05,1.0000000000e+15,2.6366060000e+01
1.3785730000e-05,1.0000000000e+15,2.6451690000e+01
1.3787080000e-05,1.0000000000e+15,2.6537600000e+01
1.3788440000e-05,1.0000000000e+15,2.6623780000e+01
1.3789800000e-05,1.0000000000e+15,2.6710250000e+01
1.3791160000e-05,1.0000000000e+15,2.6797000000e+01
1.3792520000e-05,1.0000000000e+15,2.6884030000e+01
1.3793880000e-05,1.0000000000e+15,2.6971340000e+01
1.3795240000e-05,1.0000000000e+15,2.7058930000e+01
1.3796600000e-05,1.0000000000e+15,2.7146810000e+01
1.3797950000e-05,1.0000000000e+15,2.7234980000e+01
1.3799310000e-05,1.0000000000e+15,2.7323430000e+01
1.3800670000e-05,1.0000000000e+15,2.7412170000e+01
1.3802020000e-05,1.0000000000e+15,2.7501190000e+01
1.3803380000e-05,1.0000000000e+15,2.7590510000e+01
1.3804740000e-05,1.0000000000e+15,2.7680120000e+01
1.3806090000e-05,1.0000000000e+15,2.7770010000e+01
1.3807450000e-05,1.0000000000e+15,2.7860200000e+01
1.3808800000e-05,1.0000000000e+15,2.7950680000e+01
1.3810160000e-05,1.0000000000e+15,2.8041460000e+01
1.3811520000e-05,1.0000000000e+15,2.8132530000e+01
1.3812870000e-05,1.0000000000e+15,2.8223900000e+01
1.3814220000e-05,1.0000000000e+15,2.8315560000e+01
1.3815580000e-05,1.0000000000e+15,2.8407520000e+01
1.3816930000e-05,1.0000000000e+15,2.8499780000e+01
1.3818290000e-05,1.0000000000e+15,2.8592340000e+01
1.3819640000e-05,1.0000000000e+15,2.8685200000e+01
1.3820990000e-05,1.0000000000e+15,2.8778360000e+01
1.3822350000e-05,1.0000000000e+15,2.8871820000e+01
1.3823700000e-05,1.0000000000e+15,2.8965590000e+01
1.3825050000e-05,1.0000000000e+15,2.9059660000e+01
1.3826400000e-05,1.0000000000e+15,2.9154040000e+01
1.3827750000e-05,1.0000000000e+15,2.9248720000e+01
1.3829110000e-05,1.0000000000e+15,2.9343720000e+01
1.3830460000e-05,1.0000000000e+15,2.9439020000e+01
1.3831810000e-05,1.0000000000e+15,2.9534620000e+01
1.3833160000e-05,1.0000000000e+15,2.9630540000e+01
1.3834510000e-05,1.0000000000e+15,2.9726780000e+01
1.3835860000e-05,1.0000000000e+15,2.9823320000e+01
1.3837210000e-05,1.0000000000e+15,2.9920180000e+01
1.3838560000e-05,1.0000000000e+15,3.0017350000e+01
1.3839910000e-05,1.0000000000e+15,3.0114840000e+01
1.3841260000e-05,1.0000000000e+15,3.0212640000e+01
1.3842610000e-05,1.0000000000e+15,3.0310760000e+01
1.3843950000e-05,1.0000000000e+15,3.0409200000e+01
1.3845300000e-05,1.0000000000e+15,3.0507960000e+01
1.3846650000e-05,1.0000000000e+15,3.0607050000e+01
1.3848000000e-05,1.0000000000e+15,3.0706450000e+01
1.3849350000e-05,1.0000000000e+15,3.0806170000e+01
1.3850690000e-05,1.0000000000e+15,3.0906220000e+01
1.3852040000e-05,1.0000000000e+15,3.1006600000e+01
1.3853390000e-05,1.0000000000e+15,3.1107300000e+01
1.3854730000e-05,1.0000000000e+15,3.1208330000e+01
1.3856080000e-05,1.0000000000e+15,3.1309680000e+01
1.3857430000e-05,1.0000000000e+15,3.1411370000e+01
1.3858770000e-05,1.0000000000e+15,3.1513380000e+01
1.3860120000e-05,1.0000000000e+15,3.1615730000e+01
1.3861460000e-05,1.0000000000e+15,3.1718410000e+01
1.3862810000e-05,1.0000000000e+15,3.1821420000e+01
1.3864150000e-05,1.0000000000e+15,3.1924770000e+01
1.3865500000e-05,1.0000000000e+15,3.2028450000e+01
1.3866840000e-05,1.0000000000e+15,3.2132470000e+01
1.3868190000e-05,1.0000000000e+15,3.2236830000e+01
1.3869530000e-05,1.0000000000e+15,3.2341520000e+01
1.3870870000e-05,1.0000000000e+15,3.2446560000e+01
1.3872220000e-05,1.0000000000e+15,3.2551930000e+01
1.3873560000e-05,1.0000000000e+15,3.2657650000e+01
1.3874900000e-05,1.0000000000e+15,3.2763720000e+01
1.3876240000e-05,1.0000000000e+15,3.2870120000e+01
1.3877590000e-05,1.0000000000e+15,3.2976880000e+01
1.3878930000e-05,1.0000000000e+15,3.3083980000e+01
1.3880270000e-05,1.0000000000e+15,3.3191420000e+01
1.3881610000e-05,1.0000000000e+15,3.3299220000e+01
1.3882950000e-05,1.0000000000e+15,3.3407360000e+01
1.3884290000e-05,1.0000000000e+15,3.3515860000e+01
1.3885630000e-05,1.0000000000e+15,3.3624710000e+01
1.3886970000e-05,1.0000000000e+15,3.3733920000e+01
1.3888310000e-05,1.0000000000e+15,3.3843470000e+01
1.3889650000e-05,1.0000000000e+15,3.3953390000e+01
1.3890990000e-05,1.0000000000e+15,3.4063660000e+01
1.3892330000e-05,1.0000000000e+15,3.4174290000e+01
1.3893670000e-05,1.0000000000e+15,3.4285280000e+01
1.3895010000e-05,1.0000000000e+15,3.4396620000e+01
1.3896350000e-05,1.0000000000e+15,3.4508330000e+01
1.3897690000e-05,1.0000000000e+15,3.4620410000e+01
1.3899020000e-05,1.0000000000e+15,3.4732840000e+01
1.3900360000e-05,1.0000000000e+15,3.4845650000e+01
1.3901700000e-05,1.0000000000e+15,3.4958820000e+01
1.3903040000e-05,1.0000000000e+15,3.5072350000e+01
1.3904370000e-05,1.0000000000e+15,3.5186260000e+01
1.3905710000e-05,1.0000000000e+15,3.5300530000e+01
1.3907050000e-05,1.0000000000e+15,3.5415180000e+01
1.3908380000e-05,1.0000000000e+15,3.5530200000e+01
1.3909720000e-05,1.0000000000e+15,3.5645590000e+01
1.3911050000e-05,1.0000000000e+15,3.5761350000e+01
1.3912390000e-05,1.0000000000e+15,3.5877500000e+01
1.3913720000e-05,1.0000000000e+15,3.5994020000e+01
1.3915060000e-05,1.0000000000e+15,3.6110910000e+01
1.3916390000e-05,1.0000000000e+15,3.6228190000e+01
1.3917730000e-05,1.0000000000e+15,3.6345850000e+01
1.3919060000e-05,1.0000000000e+15,3.6463890000e+01
1.3920400000e-05,1.0000000000e+15,3.6582320000e+01
1.3921730000e-05,1.0000000000e+15,3.6701130000e+01
1.3923060000e-05,1.0000000000e+15,3.6820320000e+01
1.3924400000e-05,1.0000000000e+15,3.6939900000e+01
1.3925730000e-05,1.0000000000e+15,3.7059870000e+01
1.3927060000e-05,1.0000000000e+15,3.7180230000e+01
1.3928390000e-05,1.0000000000e+15,3.7300980000e+01
1.3929730000e-05,1.0000000000e+15,3.7422130000e+01
1.3931060000e-05,1.0000000000e+15,3.7543660000e+01
1.3932390000e-05,1.0000000000e+15,3.7665590000e+01
1.3933720000e-05,1.0000000000e+15,3.7787920000e+01
1.3935050000e-05,1.0000000000e+15,3.7910640000e+01
1.3936380000e-05,1.0000000000e+15,3.8033770000e+01
1.3937710000e-05,1.0000000000e+15,3.8157290000e+01
1.3939040000e-05,1.0000000000e+15,3.8281210000e+01
1.3940370000e-05,1.0000000000e+15,3.8405540000e+01
1.3941700000e-05,1.0000000000e+15,3.8530270000e+01
1.3943030000e-05,1.0000000000e+15,3.8655410000e+01
1.3944360000e-05,1.0000000000e+15,3.8780950000e+01
1.3945690000e-05,1.0000000000e+15,3.8906900000e+01
1.3947020000e-05,1.0000000000e+15,3.9033250000e+01
1.3948350000e-05,1.0000000000e+15,3.9160020000e+01
1.3949680000e-05,1.0000000000e+15,3.9287200000e+01
1.3951000000e-05,1.0000000000e+15,3.9414800000e+01
1.3952330000e-05,1.0000000000e+15,3.9542810000e+01
1.3953660000e-05,1.0000000000e+15,3.9671230000e+01
1.3954990000e-05,1.0000000000e+15,3.9800070000e+01
1.3956310000e-05,1.0000000000e+15,3.9929330000e+01
1.3957640000e-05,1.0000000000e+15,4.0059010000e+01
1.3958970000e-05,1.0000000000e+15,4.0189110000e+01
1.3960290000e-05,1.0000000000e+15,4.0319630000e+01
1.3961620000e-05,1.0000000000e+15,4.0450580000e+01
1.3962940000e-05,1.0000000000e+15,4.0581950000e+01
1.3964270000e-05,1.0000000000e+15,4.0713750000e+01
1.3965600000e-05,1.0000000000e+15,4.0845970000e+01
1.3966920000e-05,1.0000000000e+15,4.0978630000e+01
1.3968250000e-05,1.0000000000e+15,4.1111720000e+01
1.3969570000e-05,1.0000000000e+15,4.1245240000e+01
1.3970890000e-05,1.0000000000e+15,4.1379190000e+01
1.3972220000e-05,1.0000000000e+15,4.1513580000e+01
1.3973540000e-05,1.0000000000e+15,4.1648400000e+01
1.3974860000e-05,1.0000000000e+15,4.1783660000e+01
1.3976190000e-05,1.0000000000e+15,4.1919360000e+01
1.3977510000e-05,1.0000000000e+15,4.2055510000e+01
1.3978830000e-05,1.0000000000e+15,4.2192090000e+01
1.3980160000e-05,1.0000000000e+15,4.2329120000e+01
1.3981480000e-05,1.0000000000e+15,4.2466590000e+01
1.3982800000e-05,1.0000000000e+15,4.2604510000e+01
1.3984120000e-05,1.0000000000e+15,4.2742880000e+01
1.3985440000e-05,1.0000000000e+15,4.2881690000e+01
1.3986760000e-05,1.0000000000e+15,4.3020960000e+01
1.3988090000e-05,1.0000000000e+15,4.3160680000e+01
1.3989410000e-05,1.0000000000e+15,4.3300850000e+01
1.3990730000e-05,1.0000000000e+15,4.3441480000e+01
1.3992050000e-05,1.0000000000e+15,4.3582570000e+01
1.3993370000e-05,1.0000000000e+15,4.3724110000e+01
1.3994690000e-05,1.0000000000e+15,4.3866120000e+01
1.3996010000e-05,1.0000000000e+15,4.4008580000e+01
1.3997330000e-05,1.0000000000e+15,4.4151510000e+01
1.3998640000e-05,1.0000000000e+15,4.4294900000e+01
1.3999960000e-05,1.0000000000e+15,4.4438760000e+01
1.4001280000e-05,1.0000000000e+15,4.4583080000e+01
1.4002600000e-05,1.0000000000e+15,4.4727870000e+01
1.4003920000e-05,1.0000000000e+15,4.4873140000e+01
1.4005240000e-05,1.0000000000e+15,4.5018870000e+01
