radius,rest_mass_density,gravitational_mass,pressure,energy_density
9.705618e+02,3.989941e+15,4.330753e+25,3.665900e+36,9.426972e+36
9.740373e+02,3.989941e+15,4.374371e+25,3.665899e+36,9.426971e+36
9.775228e+02,3.989940e+15,4.418428e+25,3.665899e+36,9.426971e+36
9.810184e+02,3.989940e+15,4.462929e+25,3.665899e+36,9.426970e+36
9.845241e+02,3.989940e+15,4.507878e+25,3.665898e+36,9.426969e+36
9.880399e+02,3.989940e+15,4.553279e+25,3.665898e+36,9.426968e+36
9.915659e+02,3.989939e+15,4.599137e+25,3.665898e+36,9.426967e+36
9.951021e+02,3.989939e+15,4.645457e+25,3.665897e+36,9.426966e+36
9.986487e+02,3.989939e+15,4.692243e+25,3.665897e+36,9.426965e+36
1.002206e+03,3.989939e+15,4.739500e+25,3.665897e+36,9.426964e+36
1.005773e+03,3.989938e+15,4.787233e+25,3.665896e+36,9.426963e+36
1.009350e+03,3.989938e+15,4.835447e+25,3.665896e+36,9.426962e+36
1.012939e+03,3.989938e+15,4.884145e+25,3.665896e+36,9.426962e+36
1.016537e+03,3.989937e+15,4.933334e+25,3.665895e+36,9.426961e+36
1.020146e+03,3.989937e+15,4.983018e+25,3.665895e+36,9.426960e+36
1.023766e+03,3.989937e+15,5.033203e+25,3.665895e+36,9.426959e+36
1.027397e+03,3.989937e+15,5.083892e+25,3.665894e+36,9.426958e+36
1.031038e+03,3.989936e+15,5.135092e+25,3.665894e+36,9.426957e+36
1.034690e+03,3.989936e+15,5.186807e+25,3.665894e+36,9.426956e+36
1.038352e+03,3.989936e+15,5.239043e+25,3.665893e+36,9.426955e+36
1.042026e+03,3.989935e+15,5.291805e+25,3.665893e+36,9.426954e+36
1.045710e+03,3.989935e+15,5.345098e+25,3.665892e+36,9.426953e+36
1.049406e+03,3.989935e+15,5.398927e+25,3.665892e+36,9.426952e+36
1.053112e+03,3.989934e+15,5.453298e+25,3.665892e+36,9.426951e+36
1.056829e+03,3.989934e+15,5.508217e+25,3.665891e+36,9.426950e+36
1.060558e+03,3.989934e+15,5.563688e+25,3.665891e+36,9.426949e+36
1.064297e+03,3.989933e+15,5.619718e+25,3.665891e+36,9.426948e+36
1.068048e+03,3.989933e+15,5.676312e+25,3.665890e+36,9.426947e+36
1.071810e+03,3.989933e+15,5.733475e+25,3.665890e+36,9.426946e+36
1.075583e+03,3.989933e+15,5.791214e+25,3.665889e+36,9.426945e+36
1.079368e+03,3.989932e+15,5.849535e+25,3.665889e+36,9.426944e+36
1.083164e+03,3.989932e+15,5.908442e+25,3.665889e+36,9.426943e+36
1.086971e+03,3.989932e+15,5.967942e+25,3.665888e+36,9.426942e+36
1.090790e+03,3.989931e+15,6.028042e+25,3.665888e+36,9.426941e+36
1.094620e+03,3.989931e+15,6.088746e+25,3.665887e+36,9.426939e+36
1.098462e+03,3.989931e+15,6.150062e+25,3.665887e+36,9.426938e+36
1.102315e+03,3.989930e+15,6.211994e+25,3.665887e+36,9.426937e+36
1.106180e+03,3.989930e+15,6.274551e+25,3.665886e+36,9.426936e+36
1.110057e+03,3.989930e+15,6.337737e+25,3.665886e+36,9.426935e+36
1.113946e+03,3.989929e+15,6.401559e+25,3.665885e+36,9.426934e+36
1.117846e+03,3.989929e+15,6.466023e+25,3.665885e+36,9.426933e+36
1.121758e+03,3.989929e+15,6.531137e+25,3.665885e+36,9.426932e+36
1.125682e+03,3.989928e+15,6.596906e+25,3.665884e+36,9.426931e+36
1.129618e+03,3.989928e+15,6.663337e+25,3.665884e+36,9.426930e+36
1.133566e+03,3.989928e+15,6.730437e+25,3.665883e+36,9.426928e+36
1.137526e+03,3.989927e+15,6.798212e+25,3.665883e+36,9.426927e+36
1.141498e+03,3.989927e+15,6.866670e+25,3.665882e+36,9.426926e+36
1.145482e+03,3.989927e+15,6.935816e+25,3.665882e+36,9.426925e+36
1.149479e+03,3.989926e+15,7.005659e+25,3.665882e+36,9.426924e+36
1.153487e+03,3.989926e+15,7.076205e+25,3.665881e+36,9.426923e+36
1.157508e+03,3.989925e+15,7.147461e+25,3.665881e+36,9.426921e+36
1.161541e+03,3.989925e+15,7.219435e+25,3.665880e+36,9.426920e+36
1.165587e+03,3.989925e+15,7.292133e+25,3.665880e+36,9.426919e+36
1.169645e+03,3.989924e+15,7.365563e+25,3.665879e+36,9.426918e+36
1.173715e+03,3.989924e+15,7.439732e+25,3.665879e+36,9.426917e+36
1.177798e+03,3.989924e+15,7.514647e+25,3.665878e+36,9.426915e+36
1.181894e+03,3.989923e+15,7.590317e+25,3.665878e+36,9.426914e+36
1.186002e+03,3.989923e+15,7.666749e+25,3.665878e+36,9.426913e+36
1.190123e+03,3.989922e+15,7.743950e+25,3.665877e+36,9.426912e+36
1.194257e+03,3.989922e+15,7.821928e+25,3.665877e+36,9.426910e+36
1.198403e+03,3.989922e+15,7.900691e+25,3.665876e+36,9.426909e+36
1.202562e+03,3.989921e+15,7.980248e+25,3.665876e+36,9.426908e+36
1.206734e+03,3.989921e+15,8.060605e+25,3.665875e+36,9.426907e+36
1.210919e+03,3.989921e+15,8.141771e+25,3.665875e+36,9.426905e+36
1.215117e+03,3.989920e+15,8.223754e+25,3.665874e+36,9.426904e+36
1.219328e+03,3.989920e+15,8.306562e+25,3.665874e+36,9.426903e+36
1.223553e+03,3.989919e+15,8.390204e+25,3.665873e+36,9.426901e+36
1.227790e+03,3.989919e+15,8.474688e+25,3.665873e+36,9.426900e+36
1.232040e+03,3.989919e+15,8.560023e+25,3.665872e+36,9.426899e+36
1.236304e+03,3.989918e+15,8.646216e+25,3.665872e+36,9.426897e+36
1.240581e+03,3.989918e+15,8.733278e+25,3.665871e+36,9.426896e+36
1.244871e+03,3.989917e+15,8.821215e+25,3.665871e+36,9.426895e+36
1.249175e+03,3.989917e+15,8.910038e+25,3.665870e+36,9.426893e+36
1.253492e+03,3.989916e+15,8.999756e+25,3.665870e+36,9.426892e+36
